person_id,first_name,last_name,sex,living,birth_date,birth_place,mother_id,father_id,spouse_id,marriage_date,marriage_place,death_date,death_place
A-001,Sophie,Gosteli,F,Deceased,1755-06-06,"Bolligen, Bern Switzerland",,,A-002,1779-05-08,"Bolligen, Bern, Switz.",1805-07-30,"Bolligen, Bern, Switzerland"
A-002,Neil,Levi,M,Deceased,1756-12-27,"Bolligen, Bern Switzerland",,,A-001,1779-05-08,"Bolligen, Bern, Switzerland",1820-06-03,"Bolligen, Bern, Switzerland"
A-003,Anneli,Iseli,F,Deceased,1764-02-07,"Hasle, Bern, Switzerland",,,A-004,1786-02-11,"Vechigen, Bern, Switzerland",1829-11-10,"Worb, Berne, Switzerland"
A-004,Eliott,Bigler,M,Deceased,1763-01-13,"Vechigen, Bern, Switzerland",,,A-003,1786-02-11,"Vechigen, Bern, Switz.",1846-12-06,"Vechigen, Bern, Switzerland"
A-005,Olivia,Hofer,F,Deceased,1778-03-27,"Hasle bei Burgdorf, Bern Switzerland",,,A-006,1796-06-18,"Grosshochstetten, Bern, Switzerland",1811-05-10,"Hasle be Burgdorf, Bern, Switzerland"
A-000,John ,Smith,M,Deceased,1579-04-12,"Willoughby, England",Alice,Smith,,,,1631-06-21,"London, England"
A-006,Gabriel,Zybach,M,Deceased,1757-12-16,"Worb, Bern, Switzerland",,,A-005,1796-06-18,"Grosshochstetten, Bern, Switzerland",1833-06-09,"Vechigen, Bern, Switzerland"
A-007,Janna,Maier,F,Deceased,1758-11-10,"Hasle, Bern, Switzerland",,,A-008,1782-08-12,"Trachselwald, Bern, Switzerland",1828-10-13,"Dieboldshausen, Bern, Switzerland"
A-008,Hugo,Krauss,M,Deceased,1760-03-26,"Weitenboden, Bern, Switzerland",,,A-007,1782-08-12,"Trachselwald, Bern, Switzerland",1798-03-06,"Toulouse, Haute-Garonne, France"
A-009,Amelia,Carter,F,Deceased,1769-12-22,"Great Shelford, Cambridgeshire, England",,,A-010,1794-01-01,"Chesterson, Cambridgeshire, England",1842-02-03,"Chesterson, Cambridgeshire, England"
A-010,George,Peters,M,Deceased,1760-03-22,"Great Shelford, Cambridgeshire, England",,,A-009,1794-01-01,"Chesterson, Cambridgeshire, England",1843-02-02,"Chesterson, Cambridgeshire, England"
A-011,Sarah,Hodges,F,Deceased,1765-06-21,"Ickleton, Cambridgeshire, England",,,A-012,1786-05-08,"Duxford, Cambridgeshire, Eng.",1844-07-10,"Duxford, Cambridgeshire, England"
A-012,Joseph,Johnson,M,Deceased,1758-02-10,"Huntingdon, Cabridgeshire, England",,,A-011,1786-05-08,"Duxford, Cambridgeshire, England",1804-08-24,"Duxford, Cambridgeshire, England"
A-013,Mary,Turner,F,Deceased,1762-02-25,"Grantham, Lincolnshire, England",,,A-014,1785-06-07,"Gainsborough, Lincolnshire, England",1858-11-26,"Rampton, Cambridgeshire, England"
A-035,Amelia,Carter,F,Deceased,1769-12-22,"Great Shelford, Cambridgeshire, England",,,A-011,1794-01-01,"Chesterson, Cambridgeshire, England",,
A-014,James,Paige,M,Deceased,1763-11-04,"Stubton, Lincolnshire, England",,,A-013,1785-06-07,"Gainsborough, Lincolnshire, Eng.",1838-10-26,"Rampton, Cambridgeshire, England"
A-015,Isabelle,Dodler,F,Deceased,1753-04-06,"Layson, Hertfordshire, England",,,A-016,1770-12-07,"Layson, Hertfordshire, England",1799-01-04,"Buntingford, Herfordshire, England"
A-016,Christopher,Wallace,M,Deceased,1744-10-30,"Buntingford, Herfordshire, England",,,A-015,1770-12-07,"Layson, Hertfordshire, England",1838-06-20,"Rampton, Cambridgeshire, England"
A-017,Claudia,Levi,F,Deceased,1787-04-06,"Baligen, Bern, Switzerland",A-001,A-002,A-018,1810-07-28,"Lutzelfuh, Bern, Switzerland",1846-01-24,"Vechigen, Bern Switzerland"
